original_index,TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized,keterampilan_cleaned
12740,['2005-10-18'],['l'],['2025-05-16'],['tawang'],['smk'],['teknik komputer dan jaringan'],['2025.0'],"['olahraga, gym']",['rp 5.000.001 - rp 10.000.000'],['it support'],['di dalam negeri'],"['tasikmalaya, bandung, jakarta, cikarang, puwarkata, karawang']",['19'],['teknisi/maintenance'],"['bandung', 'cikarang', 'jakarta', 'karawang', 'tasikmalaya']",['olahraga']
12741,['2006-06-19'],['l'],['2025-05-15'],['cipedes'],['smk'],['kuliner'],['2025.0'],"['bekerja keras, disiplin']",['rp 5.000.001 - rp 10.000.000'],['chef'],['di dalam negeri'],['tasikmalaya- bandung'],['18'],['tata boga/kuliner'],"['bandung', 'tasikmalaya']",['disiplin']
12742,['2006-07-15'],['p'],['2025-05-16'],['kawalu'],['smk'],['teknik komputer dan jaringan'],['2025.0'],['-'],['0 - rp 1.000.000'],['-'],['di dalam negeri'],['tasikmalaya'],['18'],[],['tasikmalaya'],[]
12743,['2006-07-05'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],['memperbaiki kendaraan'],['rp 5.000.001 - rp 10.000.000'],['mekanik'],['di dalam negeri'],"['cikarang,kabupaten bekasi']",['18'],['teknisi/maintenance'],"['cikarang', 'kab. bekasi']",[]
12744,['2006-11-18'],['l'],['2025-05-16'],['kawalu'],['smk'],['teknik kendaraan ringan'],['2025.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['akuntan'],['di dalam negeri'],['tasikmalaya'],['18'],['keuangan/akuntansi/perbankan'],['tasikmalaya'],['olahraga']
12745,['2006-03-01'],['p'],['2025-05-16'],['mangkubumi'],['smk'],['teknik komputer dan jaringan'],['2025.0'],['-'],['rp 1.000.001 - rp 2.500.000'],['-'],['di dalam negeri'],['tasikmalaya'],['19'],[],['tasikmalaya'],[]
12746,['2006-01-01'],['p'],['2025-05-15'],['cihideung'],['smk'],['manajemen perkantoran'],['2025.0'],['olahraga'],['rp 1.000.001 - rp 2.500.000'],['administrasi'],['di dalam negeri'],['subang'],['19'],['administrasi/staf umum'],['subang'],['olahraga']
12747,['2005-11-16'],['l'],['2025-05-15'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],['olahraga'],['0 - rp 1.000.000'],['akuntansi'],['di dalam negeri'],['karawang'],['19'],['keuangan/akuntansi/perbankan'],['karawang'],['olahraga']
12748,['2007-01-12'],['p'],['2025-05-15'],['tawang'],['sma / lainnya'],['ips'],['2025.0'],['-'],['rp 2.500.001 - rp 5.000.000'],['-'],['di dalam negeri'],['-'],['18'],[],['lokasi tidak spesifik'],[]
12749,['2006-03-29'],['p'],['2025-05-15'],['cihideung'],['smk'],['kuliner'],['2025.0'],"['disiplin, pekerjaan keras, management waktu']",['rp 2.500.001 - rp 5.000.000'],['chef'],['di dalam negeri'],['cikarang'],['19'],['tata boga/kuliner'],['cikarang'],"['disiplin', 'manajemen', 'manajemen waktu']"
12750,['2007-03-17'],['p'],['2025-05-16'],['mangkubumi'],['smk'],['teknik komputer dan jaringan'],['2025.0'],['-'],['rp 1.000.001 - rp 2.500.000'],['-'],['di dalam negeri'],['tasikmalaya'],['18'],[],['tasikmalaya'],[]
12751,['2004-03-12'],['p'],['2025-05-15'],['kawalu'],['smk'],['desain komunikasi visual'],['2022.0'],['seni rupa videografer fotografi'],['0 - rp 1.000.000'],['administrasi'],['di dalam negeri'],['tasikmalaya'],['21'],['administrasi/staf umum'],['tasikmalaya'],"['editing foto', 'editing video', 'seni']"
12752,['2000-12-12'],['l'],['2025-05-15'],['indihiang'],['s1'],['teknik informatika'],['2024.0'],['microsoft office'],['rp 5.000.001 - rp 10.000.000'],['staff administrasi'],['di dalam negeri'],['jabodetabek'],['24'],['administrasi/staf umum'],"['bekasi', 'bogor', 'depok', 'jakarta', 'tangerang']",['microsoft office']
12753,['2006-07-20'],['p'],['2025-05-16'],['cibeureum'],['smk'],['akuntansi'],['2025.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],"['karyawan,manager']",['di dalam negeri'],['purwakarta'],['18'],['pekerja umum'],['purwakarta'],['olahraga']
12754,['2006-07-20'],['p'],['2025-05-16'],['cibeureum'],['smk'],['akuntansi'],['2025.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],"['karyawan,manager']",['di dalam negeri'],['purwakarta'],['18'],['manajemen/direksi'],['purwakarta'],['olahraga']
12755,['2001-11-06'],['l'],['2025-05-15'],['mangkubumi'],['s1'],['teknik informatika'],['2025.0'],"['microsoft office, mengoperasikan komputer']",['rp 5.000.001 - rp 10.000.000'],['staff administrasi'],['di dalam negeri'],['bandung'],['23'],['administrasi/staf umum'],['bandung'],"['komputer', 'microsoft office']"
12756,['2006-12-18'],['l'],['2025-05-16'],['mangkubumi'],['sma / lainnya'],['mipa'],['2025.0'],"['public speaking ,taekwondo']",['rp 5.000.001 - rp 10.000.000'],['manager'],['di dalam negeri'],['cikarang'],['18'],['manajemen/direksi'],['cikarang'],['public speaking']
12757,['2004-07-22'],['p'],['2025-05-15'],['mangkubumi'],['sma / lainnya'],['mipa'],['2023.0'],['public speaking'],['rp 2.500.001 - rp 5.000.000'],['marketing digital dan content creator'],['di dalam negeri'],['tasikmalaya'],['20'],['sales/marketing'],['tasikmalaya'],['public speaking']
12758,['2002-12-29'],['p'],['2025-05-15'],['cipedes'],['d.iii'],['manajemen perusahaan'],['2024.0'],"['public speaking, multitasking, organizer,planning, content creator, marketing,']",['rp 1.000.001 - rp 2.500.000'],['marketing'],['di dalam negeri'],['tasikmalaya'],['22'],['sales/marketing'],['tasikmalaya'],"['pemasaran', 'public speaking']"
